Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Brandon Aaron                                   --+++          .          . 
Corey Jewett                  .                                             
Dave Methvin                                                              . 
Franck Marcia                            +                                  
Gilles van den Hoven                                .                       
John Resig            ----+++++   ---+++++    ------+          .  ----+++++ 
Jörn Zaefferer                      --++++   --++++++  ----+++++    -----++ 
Klaus Hartl                              .                     .            
Mike Alsup                                                     .          . 
Paul Bakaus                              .         ++                     . 
Stefan Petre                                                   .            
Yehuda Katz                                         .                       
Modified Lines:           18404       4960       1460       2313       4500 

Author                  2007-01    2007-02    2007-03    2007-04    2007-05 
Brandon Aaron                 .        -++          .          +   ---+++++ 
Corey Jewett                                                   .            
Ed Engelhardt                                                             . 
John Resig             -----+++          .   ---+++++          .     ---+++ 
Jörn Zaefferer            --+++   ---+++++          +   ++++++++            
Mike Alsup                    .                                             
Stefan Petre                  .                                             
Modified Lines:            5200        506       1147       1713        571 

Author                  2007-06    2007-07    2007-08    2007-09    2007-10 
Brandon Aaron                 .          .                     .      --+++ 
Ed Engelhardt                            .                                  
John Resig             ++++++++  -++++++++   --++++++  ------+++  ---++++++ 
Jörn Zaefferer                .          .          .                     . 
Paul Mclanahan                                                 .            
Sean Catchpole                           .                     .            
Yehuda Katz                              .                                  
Modified Lines:            2727       1921       1154       5781        246 

Author                  2007-11    2007-12    2008-01    2008-02    2008-03 
Brandon Aaron                 .          .          +                       
David Serduke          -+++++++   --++++++          +                       
John Resig                    .          .   ---+++++   -+++++++   -+++++++ 
Jörn Zaefferer                           .          +                       
Richard D. Worth                         .                                  
Scott González                                                 .            
Yehuda Katz                              .          .                       
Modified Lines:             435      10207        304        177         41 

Author                  2008-04    2008-05    2008-06    2008-07    2008-08 
Ariel Flesler          ---+++++  -++++++++   ---+++++   --++++++          + 
Brandon Aaron         --+++++++          .                                  
Ed Engelhardt                            .                                  
John Resig                                                                . 
Jörn Zaefferer               ++          .                        --------- 
Paul Bakaus                              .      ---++                       
Scott González                .          .          .                       
Sean Catchpole                .                                             
Yehuda Katz                   .                                             
Modified Lines:             757      13651         79       1759        411 

Author                  2008-10    2008-11    2008-12    2009-01    2009-02 
Ariel Flesler          ---+++++                 --+++          .          . 
Brandon Aaron                     ----++++                                . 
John Resig                         ---++++   --++++++  ------+++   ---+++++ 
Jörn Zaefferer                .                     .          .            
Paul Bakaus                              .                                  
Scott González                                                 .            
Modified Lines:             102        331       3558       7060       1289 

Author                  2009-03    2009-04    2009-05    2009-06    2009-07 
Ariel Flesler                 .                     .        -++          . 
Brandon Aaron          ----++++   ---+++++   -+++++++        -++       --++ 
John Resig                    .          .          +   -+++++++  ---++++++ 
Yehuda Katz                                                        --++++++ 
Modified Lines:            5497        433        476        222       2480 

Author                  2009-08    2009-09    2009-10    2009-11    2009-12 
Alexander Farkas                                                          . 
Andrea Giammarchi                                              .            
Ariel Flesler                        -++++                                  
Batiste Bieler                                                            . 
Ben Alman                                                                 . 
Brandon Aaron                         -+++                                  
Dave Methvin                                                              . 
David Petersen                                                            . 
Earle Castledine                                               .            
James Padolsey                                                            . 
John Resig             ---+++++  ---++++++  ---------    --+++++   ---+++++ 
Justin Meyer                                                              . 
Jörn Zaefferer                           .                                . 
Karl Swedberg                                          ----+++++          . 
Louis-Rémi Babé                                                +          . 
