Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Tor Lillqvist                                                             + 
Modified Lines:             693       4089         69       8838       1633 

Author                  2007-12    2008-01    2008-02    2008-03    2008-04 
Behdad Esfahbod        ---+++++   --++++++        +++      -++++  --+++++++ 
Dominic Lachowicz                                   .                       
Kristian Rietveld                                   .                       
Richard Hult                                            -+++++++            
Sven Neumann                                        .                       
Tor Lillqvist                                -+++++++                       
Wouter Bolsterlee                        .                                  
Modified Lines:             739       1316        180         22       1673 

Author                  2008-05    2008-06    2008-07    2008-08    2008-09 
Behdad Esfahbod               .       -+++   ----++++  --+++++++    --+++++ 
Johan Dahlin                      ----++++                                  
Murray Cumming                                                 .            
Richard Hult                                                   .            
Sven Herzberg                                                  .            
Tor Lillqvist          ---+++++                                .   --++++++ 
Modified Lines:             851        295          2       2958        101 

Author                  2008-10    2008-11    2008-12    2009-01    2009-02 
Behdad Esfahbod         --+++++   --++++++   ---+++++  -----++++  -------++ 
Chris Wilson                      ---+++++                                  
Christian Persch              .                                             
Johan Dahlin                                                   .            
Kjartan Maraas                .                                             
Richard Hult           -+++++++                                             
Tor Lillqvist                                                  .            
Modified Lines:              62        109        800       3773         63 

Author                  2009-03    2009-04    2009-05    2009-06    2009-07 
Behdad Esfahbod        ----++++  ---++++++  ------+++   ----++++  ---++++++ 
Chris Wilson                  .                                             
Sebastian Dröge               .                                             
Tor Lillqvist                 .                                           . 
Modified Lines:            2428        150      33647        367       1247 

Author                  2009-08    2009-09    2009-10    2009-11    2009-12 
Behdad Esfahbod       ---++++++   ----++++   --++++++   --------  ---++++++ 
David E. Hollingswor          .                                             
Kristian Rietveld                                                      -+++ 
Tor Lillqvist                            .                                  
Modified Lines:            9262         83         23      10460        163 

Author                  2010-01    2010-02    2010-03    2010-04    2010-05 
Behdad Esfahbod        ---+++++         -+   --++++++  ---++++++   ----++++ 
Kristian Rietveld                 ---+++++         -+                       
Tor Lillqvist                                 --+++++                       
Modified Lines:              17         19        404        315        225 

Author                  2010-06    2010-07    2010-08    2010-09    2010-10 
Behdad Esfahbod              -+              ++++++++          -  --------- 
Colin Walters                                                  .            
Owen W. Taylor                   ---++++++                                  
Robert Ancell                                       .                       
Tor Lillqvist          ---+++++                         --------            
Modified Lines:             110         26         52        108       1602 

Author                  2010-11    2010-12    2011-02    2011-03    2011-04 
Alberto Ruiz                                                              . 
Behdad Esfahbod                        +++         ++   ---+++++          . 
Christian Persch       -------+                                             
Javier Jardón                                                             - 
John (J5) Palmieri                          ----+++++                       
John Ralls                                                                . 
Kristian Rietveld                                                 +++++++++ 
Laszlo Pandy                                        .                       
Paolo Borelli                     ----++++                                  
Modified Lines:             191          8         86         65       3475 

Author                  2011-05    2011-06    2011-07    2011-08    2011-09 
Behdad Esfahbod       ----+++++       ---+   -----+++              ------++ 
Benjamin Otte                            .                                  
Chun-wei Fan                                                          -++++ 
Colin Walters                            .                                  
Javier Jardon                            .                                  
Javier Jardón                            .                                  
John Ralls                  --+                                             
Kalev Lember                                        .                       
Khaled Hosny                                            ---+++++            
Kristian Rietveld                               -++++                       
Matej Knopp                   .                                             
Matthias Clasen              ++          .                                  
Michael Vogt                                                --++            
Ryan Lortie                       ----++++                                  
Modified Lines:             403        145         30         11         53 

Author                  2011-10    2011-11    2012-01    2012-02    2012-03 
Behdad Esfahbod                                                    -+++++++ 
Kristian Rietveld                 -+++++++   --++++++   -+++++++     ++++++ 
Matthias Clasen       +++++++++          .                                  
Modified Lines:              40         39       1658        389         19 

Author                  2012-04    2012-05    2012-06    2012-07    2012-08 
Alessandro Pignotti                                                       . 
Behdad Esfahbod                                                   --------+ 
Colin Walters           +++++++                                           . 
Evan Nemerson                                                             . 
Fabian Groffen                                      .                       
John Ralls                                              ----++++          . 
Khaled Hosny           -+++++++                                             
Kristian Rietveld                  ---++++  -++++++++                     . 
Matthias Clasen                   ----++++                                . 
Pavel Holejsovsky                                --++                       
Robert Ancell                                       .                       
Modified Lines:             118         32        167          4      18139 

Author                  2012-09    2012-10    2012-11    2012-12    2013-01 
Alexander Larsson                                       ++++++++            
Behdad Esfahbod        -+++++++                     .     -+++++   ----++++ 
Benjamin Otte                                ----++++                       
Chun-wei Fan                  .  +++++++++                                  
Colin Walters                                                  .            
Jasper St. Pierre                                          -++++            
John Ralls                    .                     .          .            
Matthias Clasen        ---+++++                     .                     . 
Theppitak Karoonboon                                           .            
Modified Lines:             274        157       1235        943        686 

Author                  2013-02    2013-03    2013-04    2013-05    2013-06 
Alexander Larsson     +++++++++                                             
Behdad Esfahbod            --++    -----++   ---+++++          .       --++ 
Chun-wei Fan                     +++++++++                                  
José Aliste                                                    -            
Matthias Clasen                                        ---++++++  +++++++++ 
Modified Lines:             153        292         14        168         33 

Author                  2013-07    2013-08    2013-09    2013-12    2014-01 
Behdad Esfahbod                   ----++++  +++++++++     ++++++          . 
Benjamin Otte                                       .                       
Chun-wei Fan                                                   .   ---+++++ 
Jehan                                   -+          .                       
Kristian Rietveld      ++++++++                                             
Matthias Clasen                                     .                       
Owen W. Taylor                                      .                       
Philip Withnall                                         -+++++++            
Modified Lines:              30         45       2025         19         27 

Author                  2014-02    2014-03    2014-04    2014-05    2014-06 
Akira TAGOH           +++++++++                                             
Behdad Esfahbod          ---+++             ----+++++   ----++++      ---++ 
Emmanuele Bassi                                                     ---++++ 
Matthias Clasen                  ---++++++                               -+ 
Sebastian Dröge                                                   -++++++++ 
Modified Lines:               5          3         40          6         23 

Author                  2014-07    2014-08    2014-09    2014-10    2014-12 
Behdad Esfahbod       ---++++++          .                                  
Cody Russell                                        .          .            
Evan Nemerson                                           ----++++            
Matthias Clasen                   -+++++++   ++++++++                       
Max                                                                -+++++++ 
Modified Lines:             169       1025        197        460          5 

Author                  2015-02    2015-03    2015-04    2015-05    2015-06 
Behdad Esfahbod                          .   ------++   --++++++   -+++++++ 
Khaled Hosny                                     ----          +            
Kristian Rietveld                                              +            
Matthias Clasen       +++++++++   --++++++                     .          . 
Modified Lines:               1       1009       2875        414        140 

Author                  2015-07    2015-08    2015-09    2015-10    2015-12 
