Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Christian Klus                   1            23              2            0.00
Christian Metts                  1             1              1            0.00
Christian von Roques             1            43             11            0.00
Christoph Heer                   1            16             16            0.00
Christoph Sieghart               1            19              1            0.00
Christophe Baldy                 1             5              4            0.00
Christophe Henry                 4           115              4            0.01
Christophe Mehay                 1             5              1            0.00
Christopher Adams                2           213             18            0.01
Christopher Babiak               1            48              6            0.00
Christopher Cave-Ayl             1           107              4            0.01
Christopher G Johnso             1            13              0            0.00
Christopher Grebs                1             3              0            0.00
Christopher Keith                1            17              8            0.00
Christopher Luc                  2            31              1            0.00
Christopher Medrela              7           414            112            0.03
Christopher Wang                 2             9              7            0.00
Christos Kopanos                 2            11              4            0.00
Chronial                         1            50             10            0.00
Ciaran McCormick                 1            15              0            0.00
ClairePhila                      2            15              4            0.00
Claude Paroz                  1382         54402          48882            5.59
Claudio Catterina                1             1              1            0.00
Cleiton Lima                     1             5              3            0.00
Clemens Wolff                    1             4              4            0.00
Clément Mangin                  1            37             16            0.00
Clifford Gama                   35          1584            413            0.11
Clément Escolano                 1           409             27            0.02
Coen van der Kamp                2           188             17            0.01
Cole D                           1             1              1            0.00
Cole Maclean                     1            14              3            0.00
Colin Wood                       1            14              1            0.00
Collederas                       1             1              1            0.00
Colleen Dunlap                   2            26              0            0.00
Collin Anderson                 49           952            749            0.09
Colton Hicks                     1            35              2            0.00
Conrad Kramer                    1             7              6            0.00
Corey Farwell                    1             4              2            0.00
Craig Blaszczyk                  1            73             10            0.00
Craig Oldford                    1            21              4            0.00
Craig Smith                      1            24              0            0.00
Craig de Stigter                 1            31              6            0.00
Cristiano                        1           156             15            0.01
Cristobal Mackenzie              1            11              1            0.00
CruxBox                          1            13              3            0.00
Csirmaz Bendegúz                 2            53             30            0.00
Curtis                           4            45             41            0.00
Curtis Maloney                  20          1122           1098            0.12
Daan Vielen                      1             8              1            0.00
Dakota Hawkins                   1            38             15            0.00
Damian Posener                   1            14              3            0.00
Damien Baty                      1             8              0            0.00
Damien Nozay                     1            38              5            0.00
Dan Davis                        1            48             48            0.01
Dan Glass                        1             1              1            0.00
Dan Jacob                        1            13              1            0.00
Dan Johnson                      1            15              1            0.00
Dan Loewenherz                   2             3              5            0.00
Dan Moore                        2            77              2            0.00
Dan Palmer                       2            64             52            0.01
Dan Stephenson                   1            15              1            0.00
Dan Strokirk                     1            17              0            0.00
Dan Tao                          1            65             20            0.00
Dan Watson                       4           182            122            0.02
Dan Wilson                       1            13             14            0.00
Dani Fornons                     2            10              8            0.00
Daniel Boeve                     1             9              1            0.00
Daniel Bowring                   1            16             65            0.00
Daniel Ebrahimian                1            39              1            0.00
Daniel F Moisset                 1             1              3            0.00
Daniel Fairhead                  2            40             19            0.00
Daniel Garcia Moreno             1             5              3            0.00
Daniel Hahler                   24           175             50            0.01
Daniel Hepper                    3            55              7            0.00
Daniel Hillier                   2            69              6            0.00
Daniel Hones                     1             6              5            0.00
Daniel Ivanov                    1            30              1            0.00
Daniel Izquierdo                 2           262             20            0.02
Daniel Langer                    1            12              0            0.00
Daniel Lindsley                  3           411             61            0.03
Daniel Miller                    1            11              0            0.00
Daniel Musketa                   1             1              1            0.00
Daniel Neuhäuser                1            35              0            0.00
Daniel Patrick                   1            21              2            0.00
Daniel Pyrathon                  7          3367           1246            0.25
Daniel Roseman                   1            61              4            0.00
Daniel Sokolowski                1             3              5            0.00
Daniel Tao                       2            11              4            0.00
Daniel Wiesmann                 28          2956            525            0.19
Daniele Procida                  3             3              3            0.00
Daniele Varrazzo                 3           542            135            0.04
Daniil                           1            22              2            0.00
Danilo Bargen                    5            57             45            0.01
Daniyal                          6           667            114            0.04
Daniyal Abbasi                   1            37             18            0.00
Dave Gaeddert                    1           150              3            0.01
Dave Hall                        2            50             20            0.00
Dave Smith                       1            31             12            0.00
David                            5           598             23            0.03
David Bannon                     1            33              1            0.00
David Barragán Merin             1            13              6            0.00
David Beitey                     2             1              2            0.00
